epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4748,2.20524,2.48792,1.87811,0.17495,0.41877,0.13967,0.07478,1.63614,7.67667,1.53141,0.00012,0.00012,0.00012
2,153.177,1.15964,1.3179,1.23765,0.22119,0.62816,0.33014,0.18552,1.3858,9.72923,1.63857,0.000257426,0.000257426,0.000257426
3,225.026,1.07071,1.17509,1.22528,0.49104,0.58845,0.57065,0.3848,1.14999,4.05803,1.50192,0.00039208,0.00039208,0.00039208
