epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3269.08,0.92036,0.8369,1.12497,0.81061,0.64898,0.75541,0.57837,0.93804,0.91085,1.2349,0.0011882,0.0011882,0.0011882
43,3344.61,0.86941,0.77979,1.09503,0.762,0.70397,0.78902,0.60431,0.92843,0.91316,1.20628,0.0011684,0.0011684,0.0011684
44,3420.34,0.80416,0.73297,1.08789,0.82276,0.73738,0.80412,0.59636,0.97772,0.94741,1.26271,0.0011486,0.0011486,0.0011486
45,3495.87,0.90252,0.79313,1.09041,0.80762,0.74007,0.79654,0.59432,0.98129,0.9084,1.27497,0.0011288,0.0011288,0.0011288
46,3571.54,0.85823,0.7579,1.09323,0.80011,0.72924,0.798,0.5873,0.97672,0.85316,1.27517,0.001109,0.001109,0.001109
47,3647.12,0.83726,0.77285,1.07717,0.83814,0.72563,0.82089,0.61901,0.93786,0.82905,1.23516,0.0010892,0.0010892,0.0010892
48,3727.82,0.87299,0.77355,1.11721,0.86084,0.69232,0.79432,0.5951,0.951,0.94907,1.21114,0.0010694,0.0010694,0.0010694
49,3803.41,0.87886,0.76443,1.10699,0.79063,0.7148,0.77643,0.59517,0.93304,0.94975,1.20025,0.0010496,0.0010496,0.0010496
50,3878.8,0.79926,0.73007,1.05841,0.81688,0.70397,0.79112,0.60308,0.91435,0.88465,1.18739,0.0010298,0.0010298,0.0010298
51,3954.26,0.77935,0.67307,1.05982,0.81831,0.73285,0.80796,0.60817,0.92677,0.84609,1.21774,0.00101,0.00101,0.00101
52,4029.7,0.84998,0.76675,1.09075,0.84734,0.70036,0.82184,0.62136,0.91528,0.83162,1.22036,0.0009902,0.0009902,0.0009902
53,4105.75,0.90825,0.82607,1.12493,0.82881,0.70758,0.82231,0.62845,0.9194,0.8222,1.22365,0.0009704,0.0009704,0.0009704
54,4181.05,0.80835,0.71795,1.07924,0.80383,0.76923,0.80103,0.61596,0.89949,0.83027,1.19468,0.0009506,0.0009506,0.0009506
55,4256.63,0.84444,0.75637,1.10202,0.81289,0.76849,0.79415,0.61261,0.86763,0.84552,1.15799,0.0009308,0.0009308,0.0009308
56,4331.95,0.86461,0.77626,1.10339,0.83175,0.75812,0.81403,0.62273,0.88389,0.8416,1.18637,0.000911,0.000911,0.000911
57,4404.93,0.80095,0.68068,1.07975,0.82673,0.76895,0.83028,0.64132,0.88081,0.7995,1.18998,0.0008912,0.0008912,0.0008912
58,4482.14,0.86094,0.75771,1.10281,0.77101,0.75451,0.81923,0.62783,0.87487,0.80778,1.2001,0.0008714,0.0008714,0.0008714
59,4558,0.82821,0.77216,1.08153,0.79109,0.73646,0.82903,0.65402,0.83167,0.78078,1.16873,0.0008516,0.0008516,0.0008516
60,4633.62,0.81012,0.70229,1.05118,0.86265,0.72563,0.84995,0.65817,0.84674,0.74745,1.17109,0.0008318,0.0008318,0.0008318
61,4709.14,0.83538,0.75578,1.07816,0.87001,0.72484,0.84798,0.65928,0.84654,0.76599,1.17032,0.000812,0.000812,0.000812
62,4784.68,0.80457,0.7207,1.06877,0.76817,0.7895,0.82819,0.6392,0.86187,0.80397,1.17327,0.0007922,0.0007922,0.0007922
63,4862.27,0.80084,0.73457,1.05679,0.82686,0.70758,0.81253,0.63744,0.8751,0.82479,1.17165,0.0007724,0.0007724,0.0007724
64,4937.82,0.79815,0.6928,1.06131,0.81076,0.73646,0.80874,0.63593,0.88303,0.81514,1.18147,0.0007526,0.0007526,0.0007526
65,5013.44,0.83211,0.72255,1.08435,0.76988,0.78507,0.81608,0.64788,0.85572,0.8101,1.1653,0.0007328,0.0007328,0.0007328
66,5088.9,0.79931,0.7136,1.05669,0.84092,0.72516,0.80903,0.62929,0.84557,0.82838,1.16276,0.000713,0.000713,0.000713
67,5164.3,0.84117,0.72375,1.08339,0.81414,0.7148,0.78488,0.60527,0.87525,0.83505,1.16411,0.0006932,0.0006932,0.0006932
68,5239.68,0.78231,0.67441,1.06154,0.80765,0.75812,0.8078,0.6355,0.84609,0.79837,1.15463,0.0006734,0.0006734,0.0006734
69,5315.36,0.81325,0.68509,1.05751,0.80321,0.76895,0.81488,0.64413,0.84468,0.79073,1.16013,0.0006536,0.0006536,0.0006536
70,5391.12,0.78385,0.68594,1.04642,0.85129,0.73285,0.83003,0.65543,0.84264,0.77611,1.16727,0.0006338,0.0006338,0.0006338
71,5466.74,0.74215,0.65289,1.02339,0.86208,0.72208,0.8306,0.66426,0.8258,0.76101,1.14968,0.000614,0.000614,0.000614
72,5542.6,0.77509,0.66897,1.03645,0.82922,0.76173,0.83392,0.6618,0.83524,0.74855,1.14781,0.0005942,0.0005942,0.0005942
73,5618.12,0.77469,0.66544,1.05183,0.83499,0.75812,0.83157,0.66494,0.83337,0.72839,1.15772,0.0005744,0.0005744,0.0005744
74,5693.81,0.75024,0.65706,1.03985,0.85521,0.74632,0.83604,0.66357,0.81739,0.70521,1.15986,0.0005546,0.0005546,0.0005546
75,5771.9,0.75925,0.65165,1.04177,0.83021,0.76534,0.83768,0.65399,0.82354,0.71009,1.1655,0.0005348,0.0005348,0.0005348
76,5847.03,0.73693,0.62337,1.02902,0.80771,0.80144,0.84536,0.66852,0.80869,0.70695,1.16616,0.000515,0.000515,0.000515
77,5920.11,0.77914,0.64647,1.03252,0.81369,0.80866,0.84763,0.66782,0.80865,0.68724,1.16158,0.0004952,0.0004952,0.0004952
78,5996.6,0.69818,0.61544,1.01508,0.8339,0.79746,0.85406,0.68517,0.78038,0.67565,1.13493,0.0004754,0.0004754,0.0004754
79,6068.68,0.74758,0.6431,1.02333,0.84849,0.76824,0.85119,0.68657,0.78447,0.6918,1.11854,0.0004556,0.0004556,0.0004556
80,6142.39,0.72296,0.62883,1.00653,0.84911,0.77197,0.85164,0.68089,0.79067,0.68449,1.11397,0.0004358,0.0004358,0.0004358
81,6218.82,0.75708,0.66166,1.05203,0.85732,0.76173,0.85486,0.68205,0.79154,0.67846,1.10765,0.000416,0.000416,0.000416
82,6295.46,0.73977,0.61824,1.0092,0.87383,0.75006,0.85341,0.67821,0.7714,0.67754,1.10549,0.0003962,0.0003962,0.0003962
83,6370.77,0.72791,0.64494,1.02074,0.84513,0.76834,0.85521,0.67879,0.76825,0.67999,1.11228,0.0003764,0.0003764,0.0003764
84,6446.71,0.70371,0.61025,1.01035,0.88651,0.74729,0.85335,0.68397,0.76359,0.67954,1.11447,0.0003566,0.0003566,0.0003566
85,6522.44,0.71953,0.60498,1.03381,0.88088,0.74729,0.85063,0.67883,0.75788,0.6748,1.11181,0.0003368,0.0003368,0.0003368
86,6598.61,0.72563,0.62897,1.02646,0.84155,0.78611,0.84381,0.67498,0.77953,0.69314,1.12698,0.000317,0.000317,0.000317
87,6674.93,0.7116,0.6006,1.00131,0.83533,0.78748,0.84947,0.68265,0.7679,0.6738,1.12777,0.0002972,0.0002972,0.0002972
88,6753.86,0.7148,0.61069,1.02837,0.85595,0.76895,0.85094,0.68544,0.76131,0.67146,1.12033,0.0002774,0.0002774,0.0002774
89,6829.92,0.66815,0.55204,0.99023,0.85774,0.76895,0.84864,0.68901,0.75893,0.67175,1.11722,0.0002576,0.0002576,0.0002576
90,6905.2,0.63991,0.54712,0.98289,0.87164,0.74729,0.84366,0.68008,0.75959,0.68598,1.11475,0.0002378,0.0002378,0.0002378
91,6975.46,0.65263,0.61049,0.95822,0.85957,0.75812,0.83758,0.67376,0.76673,0.69135,1.11285,0.000218,0.000218,0.000218
92,7050.84,0.63856,0.53742,0.9392,0.86686,0.74007,0.8398,0.68249,0.75098,0.70066,1.10799,0.0001982,0.0001982,0.0001982
93,7126.62,0.62029,0.51228,0.95636,0.77246,0.8089,0.84621,0.68208,0.7446,0.70907,1.10866,0.0001784,0.0001784,0.0001784
94,7202.32,0.62407,0.49217,0.93735,0.77468,0.79783,0.84249,0.68266,0.73851,0.72074,1.10421,0.0001586,0.0001586,0.0001586
95,7277.73,0.63231,0.51083,0.96167,0.77434,0.8231,0.8422,0.68513,0.73632,0.71288,1.10291,0.0001388,0.0001388,0.0001388
96,7353.58,0.62382,0.49677,0.96553,0.79497,0.78386,0.84326,0.68487,0.73479,0.704,1.10185,0.000119,0.000119,0.000119
97,7431.73,0.60803,0.49206,0.92772,0.85409,0.73964,0.84252,0.68687,0.73611,0.69607,1.10236,9.92e-05,9.92e-05,9.92e-05
98,7507.21,0.60725,0.4728,0.93854,0.86335,0.75268,0.84071,0.68924,0.73865,0.69674,1.10576,7.94e-05,7.94e-05,7.94e-05
99,7582.76,0.60943,0.48356,0.93403,0.8455,0.77617,0.83533,0.68555,0.73131,0.68791,1.1017,5.96e-05,5.96e-05,5.96e-05
100,7658.33,0.60083,0.47582,0.93385,0.83473,0.77978,0.83525,0.68492,0.72707,0.68218,1.09999,3.98e-05,3.98e-05,3.98e-05
